District,Type,X12..Women.who.are.literate....,X39..Children.who.received.postnatal.care.from.a.doctor.nurse.LHV.ANM.midwife.other.health.personnel.within.2.days.of.delivery....,X48..Children.age.12.23.months.who.have.received.BCG....,X49..Children.age.12.23.months.who.have.received.3.doses.of.polio.vaccine....,X50..Children.age.12.23.months.who.have.received.3.doses.of.DPT.vaccine....,X51..Children.age.12.23.months.who.have.received.measles.vaccine....,X52..Children.age.12.23.months.who.have.received.3.doses.of.Hepatitis.B.vaccine....,X53..Children.age.9.59.months.who.received.a.vitamin.A.dose.in.last.6.months....,X67..Total.children.age.6.23.months.receiving.an.adequate.diet9.10....,X68..Children.under.5.years.who.are.stunted11....,X69..Children.under.5.years.who.are.wasted11....,X70..Children.under.5.years.who.are.severely.wasted12....,X71..Children.under.5.years.who.are.underweight11....,X76..Children.age.6.59.months.who.are.anaemic...11.0.g.dl.....,state
Darrang,Total,-0.00887980766562674,-0.9228626481687316,-1.068888214362774,-1.6549019856233644,-1.0023816769124916,-1.3965029511539178,-0.6339713839809509,-0.7105922309987188,-1.123038156873641,0.7373262493557394,-0.18038897700908607,-0.5605391866011665,0.4274603058060428,-0.6731694781235742,AS
Udalguri,Total,-0.08509993492831652,0.3147459523723452,-0.08014863062493781,-0.9761544746711535,0.09669050680490812,0.10906201562748791,-0.2586254295392343,0.08569957954476139,-0.8864560991100998,0.29194334343204886,-0.2977706507650715,0.11443171258555081,-0.09285222243968486,-1.0394558113474914,AS
Pashchim Champaran,Total,-1.6233606851389528,-0.9911968653765212,-1.7946651428511868,-1.3013876570024212,-0.9349539355801358,-1.7860023455451268,-1.03172605212068,-0.011688627500124442,-0.17670992581947617,0.7474485881267325,0.1456712278686516,-0.12662932283827683,0.5298168687396289,0.41283736950523386,BR
Purba Champaran,Total,-1.6095024801821,-1.4543510042293168,-0.6797034845936251,-0.12772008598089044,-0.6045580030515919,-1.1717917620820657,-0.33145374905777614,-0.7621506935518937,-0.1412226171549449,1.1118527838824797,-0.3368978753504001,-0.6810697043130803,0.6748219995622083,0.6313239542352903,BR
Sheohar,Total,-1.8658792718838728,-1.1278652997921004,0.3405916177741418,-0.20549323827749755,0.08994773267167291,-0.35534110845433886,0.2903880560620821,-0.5731029975235856,-0.022931588273174295,1.6989484326000717,-0.7542549375939043,-0.8016002220249941,0.8454162711181847,0.50280243380584555,BR
Sitamarhi,Total,-2.0945396536719403,-1.0747164641860416,-0.4167408293442003,-0.3822504025879691,0.06297663613873021,0.15400425344185778,0.07750527593095952,-0.1778214512825771,-0.2003681315958302,2.134208999752769,-0.6238308556428092,-0.7292819113978459,1.2633722364303273,0.8433844629438739,BR
Madhubani,Total,-1.8658792718838728,-1.3328679514154687,0.056591950104764255,-0.3681098294431312,-0.6517574219842411,-0.6025234164333754,-0.7460149524710155,0.07997086148329782,-0.09390620560223682,1.5774803673481557,-0.1934313852041953,-0.31947815117733885,1.0671888241409542,0.4513938256340674,BR
Supaul,Total,-2.2123343958051875,-1.1354579905929658,0.2459250618843498,-0.007525214249769579,0.31245927906844695,0.1390235075037352,0.5200773714667151,0.8877201081497056,-0.7208486586756209,1.2029538328214162,0.04133196230777546,-0.10252321929589393,0.8965945525849778,1.0618710476739304,BR
Araria,Total,-2.011390423930825,-0.9608261021730592,-0.1853336927247077,-0.4741641280294141,-0.1527921361248077,-0.5950330434643141,-0.040140470983608394,0.06851342536036989,0.02438482327953378,1.2333208491343948,0.2891377180148564,-0.10252321929589393,1.0671888241409542,0.3807069893978727,BR
Kishanganj,Total,-2.3647746503305656,-1.0823091549869073,-0.5745184224938552,-0.2903366771465241,-0.3753036825215827,-0.8646864703505356,-0.017731757285595555,0.6070129231379756,-0.11756441137859086,1.0814857675695002,0.2891377180148564,0.3795988515517611,1.0671888241409542,0.5991935741279291,BR
